frame_id,lat,lng,alt_m,heading
0,50.3755,-4.138,100,45
1,50.375502000000004,-4.137999,100,45
2,50.375504,-4.137998,100,45
3,50.375506,-4.1379969999999995,100,45
4,50.375508,-4.137996,100,45
5,50.375510000000006,-4.137995,100,45
6,50.375512,-4.137994,100,45
7,50.375514,-4.137993,100,45
8,50.375516000000005,-4.137992,100,45
9,50.375518,-4.1379909999999995,100,45
10,50.37552,-4.13799,100,45
11,50.375522000000004,-4.137989,100,45
12,50.375524000000006,-4.137988,100,45
13,50.375526,-4.137987,100,45
14,50.375528,-4.137986,100,45
15,50.375530000000005,-4.137985,100,45
16,50.375532,-4.137984,100,45
17,50.375534,-4.137983,100,45
18,50.375536000000004,-4.137982,100,45
19,50.375538000000006,-4.137981,100,45
20,50.37554,-4.13798,100,45
21,50.375542,-4.137979,100,45
22,50.375544000000005,-4.1379779999999995,100,45
23,50.375546,-4.137977,100,45
24,50.375548,-4.137976,100,45
25,50.375550000000004,-4.137975,100,45
26,50.375552,-4.137974,100,45
27,50.375554,-4.137973,100,45
28,50.375556,-4.1379719999999995,100,45
29,50.375558000000005,-4.137971,100,45
30,50.37556,-4.13797,100,45
31,50.375562,-4.137969,100,45
32,50.375564000000004,-4.137968,100,45
33,50.375566,-4.137967,100,45
34,50.375568,-4.137966,100,45
35,50.37557,-4.137965,100,45
36,50.375572000000005,-4.137964,100,45
37,50.375574,-4.137963,100,45
38,50.375576,-4.137962,100,45
39,50.375578000000004,-4.137961,100,45
40,50.37558,-4.13796,100,45
41,50.375582,-4.1379589999999995,100,45
42,50.375584,-4.137958,100,45
43,50.375586000000006,-4.137957,100,45
44,50.375588,-4.137956,100,45
45,50.37559,-4.137955,100,45
46,50.375592000000005,-4.137954,100,45
47,50.375594,-4.1379529999999995,100,45
48,50.375596,-4.137952,100,45
49,50.375598000000004,-4.137951,100,45
50,50.375600000000006,-4.13795,100,45
51,50.375602,-4.137949,100,45
52,50.375604,-4.137948,100,45
53,50.375606000000005,-4.137947,100,45
54,50.375608,-4.1379459999999995,100,45
55,50.37561,-4.137945,100,45
56,50.375612000000004,-4.137944,100,45
57,50.375614000000006,-4.137943,100,45
58,50.375616,-4.137942,100,45
59,50.375618,-4.137941,100,45
60,50.375620000000005,-4.1379399999999995,100,45
61,50.375622,-4.137939,100,45
62,50.375624,-4.137938,100,45
63,50.375626000000004,-4.137937,100,45
64,50.375628,-4.137936,100,45
65,50.37563,-4.137935,100,45
66,50.375632,-4.137934,100,45
67,50.375634000000005,-4.137933,100,45
68,50.375636,-4.137932,100,45
69,50.375638,-4.137931,100,45
70,50.375640000000004,-4.13793,100,45
71,50.375642,-4.137929,100,45
72,50.375644,-4.137928,100,45
73,50.375646,-4.1379269999999995,100,45
74,50.375648000000005,-4.137926,100,45
75,50.37565,-4.137925,100,45
76,50.375652,-4.137924,100,45
77,50.375654000000004,-4.137923,100,45
78,50.375656,-4.137922,100,45
79,50.375658,-4.1379209999999995,100,45
80,50.37566,-4.13792,100,45
81,50.375662000000005,-4.137919,100,45
82,50.375664,-4.137918,100,45
83,50.375666,-4.137917,100,45
84,50.375668000000005,-4.137916,100,45
85,50.37567,-4.137915,100,45
86,50.375672,-4.137914,100,45
87,50.375674000000004,-4.137913,100,45
88,50.375676000000006,-4.137912,100,45
